Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,TWM Latham,TWM Latham4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,NL McCullum,NL McCullum8,AF Milne,AF Milne9,MJ McClenaghan,MJ McClenaghan10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,TWM Latham,TWM Latham3,LRPL Taylor,LRPL Taylor4,DL Vettori,DL Vettori5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,NL McCullum,NL McCullum8,AF Milne,AF Milne9,MJ Henry,MJ Henry10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,DL Vettori,DL Vettori8,TG Southee,TG Southee9,AF Milne,AF Milne10,MJ McClenaghan,MJ McClenaghan11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,NL McCullum,NL McCullum8,TG Southee,TG Southee9,MJ McClenaghan,MJ McClenaghan10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,CJ Anderson,CJ Anderson5,L Ronchi,L Ronchi6,GD Elliott,GD Elliott7,DL Vettori,DL Vettori8,KD Mills,KD Mills9,TA Boult,TA Boult10,MJ McClenaghan,MJ McClenaghan11
lost,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,DL Vettori,DL Vettori8,KD Mills,KD Mills9,TG Southee,TG Southee10,MJ McClenaghan,MJ McClenaghan11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,TWM Latham,TWM Latham3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,NL McCullum,NL McCullum8,KD Mills,KD Mills9,AF Milne,AF Milne10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,TWM Latham,TWM Latham3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,L Ronchi,L Ronchi6,NL McCullum,NL McCullum7,DL Vettori,DL Vettori8,TG Southee,TG Southee9,AF Milne,AF Milne10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,DL Vettori,DL Vettori8,TG Southee,TG Southee9,AF Milne,AF Milne10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,DL Vettori,DL Vettori8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,BB McCullum,BB McCullum2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,GD Elliott,GD Elliott5,CJ Anderson,CJ Anderson6,L Ronchi,L Ronchi7,DL Vettori,DL Vettori8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,BB McCullum,BB McCullum4,CJ Anderson,CJ Anderson5,L Ronchi,L Ronchi6,DL Vettori,DL Vettori7,TG Southee,TG Southee8,GD Elliott,GD Elliott9,TA Boult,TA Boult10,AF Milne,AF Milne11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,BB McCullum,BB McCullum4,CJ Anderson,CJ Anderson5,L Ronchi,L Ronchi6,DL Vettori,DL Vettori7,TG Southee,TG Southee8,GD Elliott,GD Elliott9,TA Boult,TA Boult10,MJ McClenaghan,MJ McClenaghan11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,BB McCullum,BB McCullum4,CJ Anderson,CJ Anderson5,L Ronchi,L Ronchi6,DL Vettori,DL Vettori7,TG Southee,TG Southee8,GD Elliott,GD Elliott9,TA Boult,TA Boult10,AF Milne,AF Milne11
